,btc_cp
tusd_cp,-0.3679787481375039
dai_cp,-0.35970464332493146
usdc_cp,-0.3553019650824471
usdt_cp,-0.3368961541215277
usdp_cp,-0.3332156137381953
trx_cp,-0.3211777163428126
ape_cp,-0.24969908796765353
busd_cp,-0.215910007141841
bsv_cp,0.19155950877889802
icp_cp,0.2553265849649995
eos_cp,0.2611971001858067
sand_cp,0.39455501450334224
near_cp,0.4795336323723053
shib_cp,0.544838532054256
axs_cp,0.5524444277363195
avax_cp,0.5876882847104421
leo_cp,0.6069464225468433
flow_cp,0.6348484141553752
cro_cp,0.669627305958397
sol_cp,0.6750407492500144
hnt_cp,0.7129861462668609
mana_cp,0.7151328450217773
bch_cp,0.731836215748773
aave_cp,0.7482512287938612
qnt_cp,0.7515195660592642
fil_cp,0.7523258215717644
etc_cp,0.7590056370220221
matic_cp,0.7603228820794727
doge_cp,0.7739829030970097
kcs_cp,0.7965591594636344
algo_cp,0.8359975865954951
egld_cp,0.837099801867478
xtz_cp,0.8462861609793266
xrp_cp,0.8480421989243925
uni_cp,0.8480421989243925
ltc_cp,0.8732242439619691
theta_cp,0.874643525173146
atom_cp,0.8749566609201098
vet_cp,0.8749674742892936
ada_cp,0.8873782627198737
xlm_cp,0.8881028704127037
bnb_cp,0.9124165735043098
link_cp,0.9126303405429464
hbar_cp,0.9170521059163652
xmr_cp,0.921293337653836
ftt_cp,0.9266945061817182
eth_cp,0.9274282511403066
dot_cp,0.9375753911048883
wbtc_cp,0.9999622835694956
btc_cp,1.0
